Número;Origen;Destí;Resultat
1;Raphinha;De Jong;bona
2;De Jong;Pedri;bona
3;Pedri;Lamine Yamal;bona
4;Lamine Yamal;Balde;bona
5;Balde;De Jong;bona
6;De Jong;Araujo;bona
7;Araujo;Joan Garcia;bona
8;Joan Garcia;Cubarsi;bona
9;Cubarsi;Gavi;bona
10;Gavi;Kunde;bona
11;Kunde;Gordon;bona
12;Gordon;Lamine Yamal;dolenta
13;Gordon;Cubarsi;bona
14;Pedri;Raphinha;bona
15;Araujo;Joan Garcia;bona
16;Joan Garcia;Lamine Yamal;bona
17;Lamine Yamal;Pedri;bona
18;Pedri;Gavi;bona
19;Gavi;Gordon;bona
20;Gordon;Cubarsi;bona
21;Cubarsi;Kunde;bona
